Net Profit: All,Net Profit %: All,Net Profit: Long,Net Profit %: Long,Net Profit: Short,Net Profit %: Short,Gross Profit: All,Gross Profit %: All,Gross Profit: Long,Gross Profit %: Long,Gross Profit: Short,Gross Profit %: Short,Gross Loss: All,Gross Loss %: All,Gross Loss: Long,Gross Loss %: Long,Gross Loss: Short,Gross Loss %: Short,Max Run-up,Max Run-up %,Max Drawdown,Max Drawdown %,Buy & Hold Return,Buy & Hold Return %,Sharpe Ratio,Sortino Ratio,Profit Factor: All,Profit Factor: Long,Profit Factor: Short,Max Contracts Held: All,Max Contracts Held: Long,Max Contracts Held: Short,Open PL,Open PL %,Commission Paid: All,Commission Paid: Long,Commission Paid: Short,Total Closed Trades: All,Total Closed Trades: Long,Total Closed Trades: Short,Total Open Trades: All,Total Open Trades: Long,Total Open Trades: Short,Number Winning Trades: All,Number Winning Trades: Long,Number Winning Trades: Short,Number Losing Trades: All,Number Losing Trades: Long,Number Losing Trades: Short,Percent Profitable: All,Percent Profitable: Long,Percent Profitable: Short,Avg Trade: All,Avg Trade %: All,Avg Trade: Long,Avg Trade %: Long,Avg Trade: Short,Avg Trade %: Short,Avg Winning Trade: All,Avg Winning Trade %: All,Avg Winning Trade: Long,Avg Winning Trade %: Long,Avg Winning Trade: Short,Avg Winning Trade %: Short,Avg Losing Trade: All,Avg Losing Trade %: All,Avg Losing Trade: Long,Avg Losing Trade %: Long,Avg Losing Trade: Short,Avg Losing Trade %: Short,Ratio Avg Win / Avg Loss: All,Ratio Avg Win / Avg Loss: Long,Ratio Avg Win / Avg Loss: Short,Largest Winning Trade: All,Largest Winning Trade %: All,Largest Winning Trade: Long,Largest Winning Trade %: Long,Largest Winning Trade: Short,Largest Winning Trade %: Short,Largest Losing Trade: All,Largest Losing Trade %: All,Largest Losing Trade: Long,Largest Losing Trade %: Long,Largest Losing Trade: Short,Largest Losing Trade %: Short,Avg # Bars in Trades: All,Avg # Bars in Trades: Long,Avg # Bars in Trades: Short,Avg # Bars in Winning Trades: All,Avg # Bars in Winning Trades: Long,Avg # Bars in Winning Trades: Short,Avg # Bars in Losing Trades: All,Avg # Bars in Losing Trades: Long,Avg # Bars in Losing Trades: Short,__Start Year,__Start Month,__Start Day,__Direction,__Enable EMA & ADX Filters,__Take Profit:,__Stop Loss:,__EMA Trend 1,__EMA Trend 2,__Filter Value,__DI Length,__ADX Smoothing,__Period,__Factor,__Show Trendlines,__Enable Signals,__Trend Direction,__Slope Value,comment
11.92,11.92,50.94,50.94,-39.01,-39.01,214.44,214.44,131.88,131.88,82.56,82.56,202.52,202.52,80.95,80.95,121.57,121.57,138.3,1026.51,141.45,143.06,17.4,17.4,-0.31,-0.3,1.06,1.63,0.68,0,0,0,0,0,51.81,27.06,24.76,23,12,11,0,0,0,13,8,5,10,4,6,56.52,66.67,45.45,0.52,0.03,4.24,0.28,-3.55,-0.24,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,70,50,92,60,35,100,84,81,85,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,7,80,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 7."
10.54,10.54,-18.74,-18.74,29.28,29.28,131.97,131.97,82.43,82.43,49.54,49.54,121.43,121.43,101.17,101.17,20.26,20.26,96.38,87.19,108.26,93.85,19.96,19.96,0.09,0.17,1.09,0.82,2.44,0,0,0,0,0,31.47,22.5,8.97,14,10,4,0,0,0,8,5,3,6,5,1,57.14,50,75,0.75,0.05,-1.87,-0.13,7.32,0.49,16.5,1.1,16.49,1.1,16.51,1.1,20.24,1.35,20.23,1.35,20.26,1.35,0.82,0.82,0.82,16.52,1.1,16.49,1.1,16.52,1.1,20.26,1.35,20.24,1.35,20.26,1.35,31,27,41,29,19,46,34,35,26,2022,5,1,all,TRUE,1.25,1.2,25,100,22,27,25,185,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 28 => 22."
10.54,10.54,-18.74,-18.74,29.28,29.28,131.97,131.97,82.43,82.43,49.54,49.54,121.43,121.43,101.17,101.17,20.26,20.26,96.38,87.19,108.26,93.85,19.96,19.96,0.09,0.17,1.09,0.82,2.44,0,0,0,0,0,31.47,22.5,8.97,14,10,4,0,0,0,8,5,3,6,5,1,57.14,50,75,0.75,0.05,-1.87,-0.13,7.32,0.49,16.5,1.1,16.49,1.1,16.51,1.1,20.24,1.35,20.23,1.35,20.26,1.35,0.82,0.82,0.82,16.52,1.1,16.49,1.1,16.52,1.1,20.26,1.35,20.24,1.35,20.26,1.35,31,27,41,29,19,46,34,35,26,2022,5,1,all,TRUE,1.25,1.2,33,100,28,27,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.5 => 1.25."
8.24,8.24,8.24,8.24,0,0,16.49,16.49,16.49,16.49,0,0,8.25,8.25,8.25,8.25,0,0,17.61,16.27,10.41,10.52,20.26,20.26,0.25,0.59,2,2,N/A,0,0,0,0,0,4.51,4.51,0,2,2,0,0,0,0,1,1,0,1,1,0,50,50,N/A,4.12,0.27,4.12,0.27,N/A,,16.49,1.1,16.49,1.1,N/A,,8.25,0.55,8.25,0.55,N/A,,2,2,N/A,16.49,1.1,16.49,1.1,N/A,,8.25,0.55,8.25,0.55,N/A,,8,8,0,13,13,0,2,2,0,2022,5,1,all,TRUE,1.25,0.4,57,160,34,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 28 => 34."
6.86,6.86,-71.96,-71.96,78.82,78.82,148.53,148.53,49.45,49.45,99.08,99.08,141.68,141.68,121.42,121.42,20.26,20.26,92.65,86.71,98.53,99.65,17.23,17.23,0.13,0.25,1.05,0.41,4.89,0,0,0,0,0,35.89,20.21,15.68,16,9,7,0,0,0,9,3,6,7,6,1,56.25,33.33,85.71,0.43,0.03,-8,-0.53,11.26,0.75,16.5,1.1,16.48,1.1,16.51,1.1,20.24,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,87,54,131,91,40,117,82,60,215,2022,5,1,all,TRUE,1.25,1.2,100,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 33 => 100."
3.08,3.08,-55.48,-55.48,58.56,58.56,165.02,165.02,65.94,65.94,99.08,99.08,161.94,161.94,121.42,121.42,40.52,40.52,109.14,157.93,118.8,120.15,21.95,21.95,-0.1,-0.12,1.02,0.54,2.44,0,0,0,0,0,40.42,22.47,17.94,18,10,8,0,0,0,10,4,6,8,6,2,55.56,40,75,0.17,0.01,-5.55,-0.37,7.32,0.49,16.5,1.1,16.48,1.1,16.51,1.1,20.24,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,84,56,119,90,50,117,76,60,125,2022,5,1,all,TRUE,1.25,1.2,49,370,34,25,23,65,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 28 => 23."
-2.3,-2.3,29.19,29.19,-31.5,-31.5,188.97,188.97,107.89,107.89,81.07,81.07,191.27,191.27,78.7,78.7,112.57,112.57,70.83,62.42,62.05,62.76,22.3,22.3,0.06,0.08,0.99,1.37,0.72,0,0,0,0,0,85.54,42.8,42.74,38,19,19,0,0,0,21,12,9,17,7,10,55.26,63.16,47.37,-0.06,0,1.54,0.1,-1.66,-0.11,9,0.6,8.99,0.6,9.01,0.6,11.25,0.75,11.24,0.75,11.26,0.75,0.8,0.8,0.8,9.01,0.6,8.99,0.6,9.01,0.6,11.26,0.75,11.24,0.75,11.26,0.75,18,15,22,20,15,28,15,14,16,2022,5,1,all,TRUE,0.75,0.6,65,310,25,21,17,110,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 34 => 25."
-2.71,-2.71,8.23,8.23,-10.95,-10.95,49.48,49.48,32.97,32.97,16.51,16.51,52.19,52.19,24.73,24.73,27.46,27.46,50.61,41.47,28.32,28.65,19.48,19.48,0.02,0.04,0.95,1.33,0.6,0,0,0,0,0,20.26,11.26,9,9,5,4,0,0,0,3,2,1,6,3,3,33.33,40,25,-0.3,-0.02,1.65,0.11,-2.74,-0.18,16.49,1.1,16.48,1.1,16.51,1.1,8.7,0.58,8.24,0.55,9.15,0.61,1.9,2,1.8,16.51,1.1,16.49,1.1,16.51,1.1,10.95,0.73,8.25,0.55,10.95,0.73,13,12,14,16,15,19,11,10,13,2022,5,1,all,TRUE,1.25,0.4,57,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 33 => 57."
-2.73,-2.73,16.47,16.47,-19.2,-19.2,65.97,65.97,49.46,49.46,16.51,16.51,68.69,68.69,32.98,32.98,35.71,35.71,50.61,41.47,28.34,28.66,20.28,20.28,0.03,0.05,0.96,1.5,0.46,0,0,0,0,0,27.03,15.77,11.25,12,7,5,0,0,0,4,3,1,8,4,4,33.33,42.86,20,-0.23,-0.02,2.35,0.16,-3.84,-0.26,16.49,1.1,16.49,1.1,16.51,1.1,8.59,0.57,8.25,0.55,8.93,0.6,1.92,2,1.85,16.51,1.1,16.49,1.1,16.51,1.1,10.95,0.73,8.25,0.55,10.95,0.73,11,11,12,16,14,19,9,8,11,2022,5,1,all,TRUE,1.25,0.4,57,160,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 2"": 100 => 160."
-3.72,-3.72,-20.23,-20.23,16.51,16.51,16.51,16.51,0,0,16.51,16.51,20.23,20.23,20.23,20.23,0,0,17.64,18.32,34.04,34.42,17.84,17.84,0,0,0.82,0,N/A,0,0,0,0,0,4.47,2.24,2.24,2,1,1,0,0,0,1,0,1,1,1,0,50,0,100,-1.86,-0.12,-20.23,-1.35,16.51,1.1,16.51,1.1,N/A,,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,0.82,0,N/A,16.51,1.1,N/A,,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,44,25,63,63,0,63,25,25,0,2022,5,1,all,TRUE,1.25,1.2,33,100,28,27,25,185,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 50 => 185."
-3.72,-3.72,-20.23,-20.23,16.51,16.51,16.51,16.51,0,0,16.51,16.51,20.23,20.23,20.23,20.23,0,0,17.64,18.32,34.04,34.42,17.76,17.76,0,0,0.82,0,N/A,0,0,0,0,0,4.47,2.24,2.24,2,1,1,0,0,0,1,0,1,1,1,0,50,0,100,-1.86,-0.12,-20.23,-1.35,16.51,1.1,16.51,1.1,N/A,,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,0.82,0,N/A,16.51,1.1,N/A,,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,44,25,63,63,0,63,25,25,0,2022,5,1,all,TRUE,1.25,1.2,25,100,28,27,25,185,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 33 => 25."
-12.73,-12.73,-16.49,-16.49,3.76,3.76,20.26,20.26,0,0,20.26,20.26,33,33,16.49,16.49,16.51,16.51,21.39,20.61,22.24,22.49,19.47,19.47,-0.06,-0.11,0.61,0,1.23,0,0,0,0,0,11.23,4.49,6.74,5,2,3,0,0,0,1,0,1,4,2,2,20,0,33.33,-2.55,-0.17,-8.24,-0.55,1.25,0.08,20.26,1.35,N/A,,20.26,1.35,8.25,0.55,8.24,0.55,8.25,0.55,2.46,0,2.46,20.26,1.35,N/A,,20.26,1.35,8.25,0.55,8.25,0.55,8.25,0.55,10,5,14,20,0,20,8,5,11,2022,5,1,all,TRUE,1.5,0.4,33,100,28,21,19,170,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.25 => 1.5."
-16.48,-16.48,-16.49,-16.49,0.01,0,16.51,16.51,0,0,16.51,16.51,33,33,16.49,16.49,16.51,16.51,17.64,17.63,22.24,22.49,19.42,19.42,-0.11,-0.16,0.5,0,1,0,0,0,0,0,11.23,4.49,6.74,5,2,3,0,0,0,1,0,1,4,2,2,20,0,33.33,-3.3,-0.22,-8.24,-0.55,0,0,16.51,1.1,N/A,,16.51,1.1,8.25,0.55,8.24,0.55,8.25,0.55,2,0,2,16.51,1.1,N/A,,16.51,1.1,8.25,0.55,8.25,0.55,8.25,0.55,10,5,14,19,0,19,8,5,11,2022,5,1,all,TRUE,1.25,0.4,33,100,28,21,19,170,1,TRUE,TRUE,TRUE,0,"Changed ""Stop Loss:"": 1.2 => 0.4."
-16.49,-16.49,-16.49,-16.49,0,0,0,0,0,0,0,0,16.49,16.49,16.49,16.49,0,0,0,0,14.25,14.41,20.29,20.29,-1,-0.71,0,0,N/A,0,0,0,0,0,4.49,4.49,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,N/A,-8.25,-0.55,-8.25,-0.55,N/A,,N/A,,N/A,,N/A,,8.25,0.55,8.25,0.55,N/A,,0,0,N/A,N/A,,N/A,,N/A,,8.25,0.55,8.25,0.55,N/A,,22,22,0,0,0,0,22,22,0,2022,5,1,all,TRUE,1.5,1.2,33,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.25 => 1.5."
-17.26,-17.26,-3.01,-3.01,-14.26,-14.26,25.48,25.48,25.48,25.48,0,0,42.74,42.74,28.48,28.48,14.26,14.26,26.6,23.91,26.24,23.83,20.27,20.27,-0.08,-0.1,0.6,0.89,0,0,0,0,0,0,11.26,9,2.26,5,4,1,0,0,0,2,2,0,3,2,1,40,50,0,-3.45,-0.23,-0.75,-0.05,-14.26,-0.95,12.74,0.85,12.74,0.85,N/A,,14.25,0.95,14.24,0.95,14.26,0.95,0.89,0.89,0,12.74,0.85,12.74,0.85,N/A,,14.26,0.95,14.24,0.95,14.26,0.95,18,18,17,13,13,0,21,24,17,2022,5,1,all,TRUE,1,0.8,33,400,37,25,11,170,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 13 => 37."
-18.89,-18.89,21.6,21.6,-40.49,-40.49,485.9,485.9,283.25,283.25,202.65,202.65,504.79,504.79,261.65,261.65,243.14,243.14,163.08,113.61,135.43,113.67,21.27,21.27,-0.23,-0.22,0.96,1.08,0.83,0,0,0,0,0,112.55,63.06,49.49,50,28,22,0,0,0,24,14,10,26,14,12,48,50,45.45,-0.38,-0.03,0.77,0.05,-1.84,-0.12,20.25,1.35,20.23,1.35,20.27,1.35,19.42,1.29,18.69,1.25,20.26,1.35,1.04,1.08,1,20.27,1.35,20.23,1.35,20.27,1.35,20.27,1.35,20.24,1.35,20.27,1.35,62,53,73,62,50,77,61,55,69,2022,5,1,all,TRUE,1.5,1.2,33,100,28,13,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.25 => 1.5."
-19.27,-19.27,57.69,57.69,-76.96,-76.96,148.48,148.48,82.42,82.42,66.06,66.06,167.75,167.75,24.74,24.74,143.02,143.02,42.36,52.45,62.98,63.69,22.35,22.35,0.02,0.04,0.89,3.33,0.46,0,0,0,0,0,65.32,18.06,47.27,29,8,21,0,0,0,9,5,4,20,3,17,31.03,62.5,19.05,-0.66,-0.04,7.21,0.48,-3.66,-0.24,16.5,1.1,16.48,1.1,16.51,1.1,8.39,0.56,8.25,0.55,8.41,0.56,1.97,2,1.96,16.51,1.1,16.49,1.1,16.51,1.1,10.95,0.73,8.25,0.55,10.95,0.73,26,24,26,30,34,25,24,7,27,2022,5,1,all,TRUE,1.25,0.4,57,190,37,11,19,95,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-27.79,-27.79,17.96,17.96,-45.75,-45.75,214.45,214.45,131.88,131.88,82.57,82.57,242.24,242.24,113.92,113.92,128.32,128.32,92.61,812.85,136.34,118.19,21.88,21.88,-0.1,-0.11,0.89,1.16,0.64,0,0,0,0,0,67.55,36.04,31.51,30,16,14,0,0,0,13,8,5,17,8,9,43.33,50,35.71,-0.93,-0.06,1.12,0.07,-3.27,-0.22,16.5,1.1,16.49,1.1,16.51,1.1,14.25,0.95,14.24,0.95,14.26,0.95,1.16,1.16,1.16,16.51,1.1,16.49,1.1,16.51,1.1,14.26,0.95,14.24,0.95,14.26,0.95,29,31,27,33,33,35,26,30,23,2022,5,1,all,TRUE,1.25,0.8,89,160,40,9,9,65,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 2"": 310 => 160."
-28.2,-28.2,-6.8,-6.8,-21.4,-21.4,518.48,518.48,296.73,296.73,221.75,221.75,546.68,546.68,303.53,303.53,243.15,243.15,161.92,610.09,171.45,130.03,21.29,21.29,-0.08,-0.1,0.95,0.98,0.91,0,0,0,0,0,130.51,74.3,56.22,58,33,25,0,0,0,31,18,13,27,15,12,53.45,54.55,52,-0.49,-0.03,-0.21,-0.01,-0.86,-0.06,16.73,1.12,16.49,1.1,17.06,1.14,20.25,1.35,20.24,1.35,20.26,1.35,0.83,0.82,0.84,23.59,1.57,16.49,1.1,23.59,1.57,20.26,1.35,20.24,1.35,20.26,1.35,63,53,77,57,42,77,71,65,78,2022,5,1,all,TRUE,1.25,1.2,33,100,22,27,28,50,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 28."
-29.89,-29.89,-88.45,-88.45,58.56,58.56,132.05,132.05,32.97,32.97,99.08,99.08,161.94,161.94,121.42,121.42,40.52,40.52,76.17,157.93,118.8,120.15,21.99,21.99,-0.12,-0.13,0.82,0.27,2.44,0,0,0,0,0,35.89,17.95,17.94,16,8,8,0,0,0,8,2,6,8,6,2,50,25,75,-1.87,-0.12,-11.06,-0.74,7.32,0.49,16.51,1.1,16.49,1.1,16.51,1.1,20.24,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,84,50,119,92,19,117,76,60,125,2022,5,1,all,TRUE,1.25,1.2,49,370,34,25,28,65,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-31.46,-31.46,-40.47,-40.47,9.01,9.01,49.54,49.54,0,0,49.54,49.54,81,81,40.47,40.47,40.53,40.53,34.15,47.24,74.6,75.45,22.45,22.45,-0.01,-0.01,0.61,0,1.22,0,0,0,0,0,15.71,4.47,11.23,7,2,5,0,0,0,3,0,3,4,2,2,42.86,0,60,-4.49,-0.3,-20.24,-1.35,1.8,0.12,16.51,1.1,N/A,,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0,0.82,16.51,1.1,N/A,,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,98,29,126,131,0,131,74,29,119,2022,5,1,all,TRUE,1.25,1.2,57,100,40,28,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 41 => 57."
-31.46,-31.46,-40.47,-40.47,9.01,9.01,49.54,49.54,0,0,49.54,49.54,81,81,40.47,40.47,40.53,40.53,34.15,47.24,74.6,75.45,22.5,22.5,-0.01,-0.01,0.61,0,1.22,0,0,0,0,0,15.71,4.47,11.23,7,2,5,0,0,0,3,0,3,4,2,2,42.86,0,60,-4.49,-0.3,-20.24,-1.35,1.8,0.12,16.51,1.1,N/A,,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0,0.82,16.51,1.1,N/A,,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,98,29,126,131,0,131,74,29,119,2022,5,1,all,TRUE,1.25,1.2,33,100,40,28,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 57 => 33."
-33.02,-33.02,-0.01,-0.01,-33.01,-33.01,49.48,49.48,32.97,32.97,16.51,16.51,82.51,82.51,32.98,32.98,49.53,49.53,17.64,23.41,52.83,49.32,22.21,22.21,-0.09,-0.13,0.6,1,0.33,0,0,0,0,0,29.27,13.51,15.76,13,6,7,0,0,0,3,2,1,10,4,6,23.08,33.33,14.29,-2.54,-0.17,0,0,-4.72,-0.31,16.49,1.1,16.48,1.1,16.51,1.1,8.25,0.55,8.25,0.55,8.25,0.55,2,2,2,16.51,1.1,16.49,1.1,16.51,1.1,8.26,0.55,8.25,0.55,8.26,0.55,29,25,33,58,41,93,21,18,23,2022,5,1,all,TRUE,1.25,0.4,33,100,28,21,25,140,1,TRUE,TRUE,TRUE,0,"Changed ""Stop Loss:"": 1.2 => 0.4."
-39.72,-39.72,-42,-42,2.28,2.28,216.73,216.73,114.65,114.65,102.08,102.08,256.45,256.45,156.64,156.64,99.81,99.81,70.11,388.33,125.78,112.69,21.19,21.19,0.19,0.92,0.85,0.73,1.02,0,0,0,0,0,78.72,45,33.72,35,20,15,0,0,0,17,9,8,18,11,7,48.57,45,53.33,-1.13,-0.08,-2.1,-0.14,0.15,0.01,12.75,0.85,12.74,0.85,12.76,0.85,14.25,0.95,14.24,0.95,14.26,0.95,0.9,0.9,0.9,12.76,0.85,12.74,0.85,12.76,0.85,14.26,0.95,14.24,0.95,14.26,0.95,37,33,41,38,26,52,35,39,29,2022,5,1,all,TRUE,1,0.8,25,160,28,28,19,65,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-42.03,-42.03,3.72,3.72,-45.75,-45.75,214.45,214.45,131.88,131.88,82.57,82.57,256.48,256.48,128.16,128.16,128.32,128.32,83.61,812.9,142.25,123.31,21.79,21.79,-0.22,-0.22,0.84,1.03,0.64,0,0,0,0,0,69.79,38.28,31.51,31,17,14,0,0,0,13,8,5,18,9,9,41.94,47.06,35.71,-1.36,-0.09,0.22,0.01,-3.27,-0.22,16.5,1.1,16.49,1.1,16.51,1.1,14.25,0.95,14.24,0.95,14.26,0.95,1.16,1.16,1.16,16.51,1.1,16.49,1.1,16.51,1.1,14.26,0.95,14.24,0.95,14.26,0.95,29,30,27,33,33,35,26,28,23,2022,5,1,all,TRUE,1.25,0.8,89,100,40,9,9,65,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-44.27,-44.27,1.48,1.48,-45.75,-45.75,197.96,197.96,115.4,115.4,82.57,82.57,242.24,242.24,113.92,113.92,128.32,128.32,83.61,3394.08,128.01,129.47,18.27,18.27,-0.17,-0.19,0.82,1.01,0.64,0,0,0,0,0,65.28,33.77,31.51,29,15,14,0,0,0,12,7,5,17,8,9,41.38,46.67,35.71,-1.53,-0.1,0.1,0.01,-3.27,-0.22,16.5,1.1,16.49,1.1,16.51,1.1,14.25,0.95,14.24,0.95,14.26,0.95,1.16,1.16,1.16,16.51,1.1,16.49,1.1,16.51,1.1,14.26,0.95,14.24,0.95,14.26,0.95,32,32,33,40,34,48,27,30,24,2022,5,1,all,TRUE,1.25,0.8,89,310,40,9,9,65,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 2"": 100 => 310."
-47.28,-47.28,-2.25,-2.25,-45.03,-45.03,8.99,8.99,8.99,8.99,0,0,56.27,56.27,11.24,11.24,45.03,45.03,10.12,13.45,45.02,45.53,22.31,22.31,-0.29,-0.3,0.16,0.8,0,0,0,0,0,0,13.53,4.5,9.03,6,2,4,0,0,0,1,1,0,5,1,4,16.67,50,0,-7.88,-0.53,-1.13,-0.08,-11.26,-0.75,8.99,0.6,8.99,0.6,N/A,,11.25,0.75,11.24,0.75,11.26,0.75,0.8,0.8,0,8.99,0.6,8.99,0.6,N/A,,11.26,0.75,11.24,0.75,11.26,0.75,23,9,30,5,5,0,26,12,30,2022,5,1,all,TRUE,0.75,0.6,65,310,34,21,17,110,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-54.75,-54.75,-22.49,-22.49,-32.26,-32.26,12.76,12.76,0,0,12.76,12.76,67.51,67.51,22.49,22.49,45.02,45.02,13.89,30.69,76.28,77.14,22.52,22.52,-0.18,-0.24,0.19,0,0.28,0,0,0,0,0,15.75,4.49,11.26,7,2,5,0,0,0,1,0,1,6,2,4,14.29,0,20,-7.82,-0.52,-11.24,-0.75,-6.45,-0.43,12.76,0.85,N/A,,12.76,0.85,11.25,0.75,11.24,0.75,11.26,0.75,1.13,0,1.13,12.76,0.85,N/A,,12.76,0.85,11.26,0.75,11.24,0.75,11.26,0.75,30,15,36,111,0,111,17,15,18,2022,5,1,all,TRUE,1,0.6,33,400,37,21,27,95,1,TRUE,TRUE,TRUE,0,Changed all parameters randomly.
-57.79,-57.79,-6.02,-6.02,-51.77,-51.77,164.93,164.93,115.39,115.39,49.54,49.54,222.72,222.72,121.41,121.41,101.31,101.31,83.6,580.04,142.89,123.86,21.6,21.6,-0.06,-0.09,0.74,0.95,0.49,0,0,0,0,0,47.29,29.27,18.02,21,13,8,0,0,0,10,7,3,11,6,5,47.62,53.85,37.5,-2.75,-0.18,-0.46,-0.03,-6.47,-0.43,16.49,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,75,53,112,71,45,131,79,62,100,2022,5,1,all,TRUE,1.25,1.2,33,100,28,27,7,80,1,TRUE,TRUE,TRUE,0,"Changed ""DI Length"": 21 => 27."
-60.64,-60.64,-101.17,-101.17,40.53,40.53,101.26,101.26,40.47,40.47,60.8,60.8,161.9,161.9,141.64,141.64,20.26,20.26,41.69,112.97,125.53,105.39,19.98,19.98,-0.16,-0.16,0.63,0.29,3,0,0,0,0,0,29.15,20.19,8.96,13,9,4,0,0,0,5,2,3,8,7,1,38.46,22.22,75,-4.66,-0.31,-11.24,-0.75,10.13,0.68,20.25,1.35,20.23,1.35,20.27,1.35,20.24,1.35,20.23,1.35,20.26,1.35,1,1,1,20.27,1.35,20.23,1.35,20.27,1.35,20.26,1.35,20.24,1.35,20.26,1.35,40,39,44,36,16,50,43,46,26,2022,5,1,all,TRUE,1.5,1.2,33,100,28,27,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.25 => 1.5."
-61.15,-61.15,-56.26,-56.26,-4.89,-4.89,485.53,485.53,247.27,247.27,238.26,238.26,546.68,546.68,303.53,303.53,243.15,243.15,161.91,943.13,171.42,148.59,21.38,21.38,-0.12,-0.14,0.89,0.82,0.98,0,0,0,0,0,125.96,67.5,58.46,56,30,26,0,0,0,29,15,14,27,15,12,51.79,50,53.85,-1.09,-0.07,-1.88,-0.13,-0.19,-0.01,16.74,1.12,16.48,1.1,17.02,1.13,20.25,1.35,20.24,1.35,20.26,1.35,0.83,0.82,0.84,23.59,1.57,16.49,1.1,23.59,1.57,20.26,1.35,20.24,1.35,20.26,1.35,64,54,75,57,43,72,71,65,78,2022,5,1,all,TRUE,1.25,1.2,33,100,22,27,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 28 => 22."
-61.17,-61.17,-39.77,-39.77,-21.4,-21.4,485.51,485.51,263.76,263.76,221.75,221.75,546.68,546.68,303.53,303.53,243.15,243.15,161.92,947.79,187.93,142.54,21.49,21.49,-0.12,-0.14,0.89,0.87,0.91,0,0,0,0,0,125.99,69.77,56.22,56,31,25,0,0,0,29,16,13,27,15,12,51.79,51.61,52,-1.09,-0.07,-1.28,-0.09,-0.86,-0.06,16.74,1.12,16.49,1.1,17.06,1.14,20.25,1.35,20.24,1.35,20.26,1.35,0.83,0.82,0.84,23.59,1.57,16.49,1.1,23.59,1.57,20.26,1.35,20.24,1.35,20.26,1.35,64,53,77,57,42,77,71,65,78,2022,5,1,all,TRUE,1.25,1.2,33,100,22,27,25,80,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 50 => 80."
