Net Profit: All,Net Profit %: All,Net Profit: Long,Net Profit %: Long,Net Profit: Short,Net Profit %: Short,Gross Profit: All,Gross Profit %: All,Gross Profit: Long,Gross Profit %: Long,Gross Profit: Short,Gross Profit %: Short,Gross Loss: All,Gross Loss %: All,Gross Loss: Long,Gross Loss %: Long,Gross Loss: Short,Gross Loss %: Short,Max Run-up,Max Run-up %,Max Drawdown,Max Drawdown %,Buy & Hold Return,Buy & Hold Return %,Sharpe Ratio,Sortino Ratio,Profit Factor: All,Profit Factor: Long,Profit Factor: Short,Max Contracts Held: All,Max Contracts Held: Long,Max Contracts Held: Short,Open PL,Open PL %,Commission Paid: All,Commission Paid: Long,Commission Paid: Short,Total Closed Trades: All,Total Closed Trades: Long,Total Closed Trades: Short,Total Open Trades: All,Total Open Trades: Long,Total Open Trades: Short,Number Winning Trades: All,Number Winning Trades: Long,Number Winning Trades: Short,Number Losing Trades: All,Number Losing Trades: Long,Number Losing Trades: Short,Percent Profitable: All,Percent Profitable: Long,Percent Profitable: Short,Avg Trade: All,Avg Trade %: All,Avg Trade: Long,Avg Trade %: Long,Avg Trade: Short,Avg Trade %: Short,Avg Winning Trade: All,Avg Winning Trade %: All,Avg Winning Trade: Long,Avg Winning Trade %: Long,Avg Winning Trade: Short,Avg Winning Trade %: Short,Avg Losing Trade: All,Avg Losing Trade %: All,Avg Losing Trade: Long,Avg Losing Trade %: Long,Avg Losing Trade: Short,Avg Losing Trade %: Short,Ratio Avg Win / Avg Loss: All,Ratio Avg Win / Avg Loss: Long,Ratio Avg Win / Avg Loss: Short,Largest Winning Trade: All,Largest Winning Trade %: All,Largest Winning Trade: Long,Largest Winning Trade %: Long,Largest Winning Trade: Short,Largest Winning Trade %: Short,Largest Losing Trade: All,Largest Losing Trade %: All,Largest Losing Trade: Long,Largest Losing Trade %: Long,Largest Losing Trade: Short,Largest Losing Trade %: Short,Avg # Bars in Trades: All,Avg # Bars in Trades: Long,Avg # Bars in Trades: Short,Avg # Bars in Winning Trades: All,Avg # Bars in Winning Trades: Long,Avg # Bars in Winning Trades: Short,Avg # Bars in Losing Trades: All,Avg # Bars in Losing Trades: Long,Avg # Bars in Losing Trades: Short,__Start Year,__Start Month,__Start Day,__Direction,__Enable EMA & ADX Filters,__Take Profit:,__Stop Loss:,__EMA Trend 1,__EMA Trend 2,__Filter Value,__DI Length,__ADX Smoothing,__Period,__Factor,__Show Trendlines,__Enable Signals,__Trend Direction,__Slope Value,comment
45.79,45.79,-3.75,-3.75,49.54,49.54,66.02,66.02,16.49,16.49,49.54,49.54,20.23,20.23,20.23,20.23,0,0,50.63,34.73,25.97,22.51,19.37,19.37,0.23,0.46,3.26,0.82,N/A,0,0,0,0,0,11.21,4.5,6.71,5,2,3,0,0,0,4,1,3,1,1,0,80,50,100,9.16,0.61,-1.87,-0.13,16.51,1.1,16.51,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,0.82,0.82,N/A,16.51,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,39,20,52,43,15,52,25,25,0,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,19,170,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 200 => 170."
45.76,45.76,12.74,12.74,33.02,33.02,66,66,32.97,32.97,33.02,33.02,20.23,20.23,20.23,20.23,0,0,67.12,46.05,25.02,25.31,17.96,17.96,0.22,0.42,3.26,1.63,N/A,0,0,0,0,0,11.24,6.76,4.47,5,3,2,0,0,0,4,2,2,1,1,0,80,66.67,100,9.15,0.61,4.25,0.28,16.51,1.1,16.5,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,0.82,0.82,N/A,16.51,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,29,19,44,30,17,44,25,25,0,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,27,200,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 27."
42.02,42.02,12.74,12.74,29.27,29.27,82.51,82.51,32.97,32.97,49.54,49.54,40.49,40.49,20.23,20.23,20.26,20.26,67.12,47.26,48.97,42.44,19.5,19.5,0.18,0.31,2.04,1.63,2.44,0,0,0,0,0,15.73,6.76,8.97,7,3,4,0,0,0,5,2,3,2,1,1,71.43,66.67,75,6,0.4,4.25,0.28,7.32,0.49,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.23,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.23,1.35,20.26,1.35,45,21,63,44,20,61,48,25,70,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,19,155,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 200 => 155."
41.17,41.17,59.92,59.92,-18.75,-18.75,263.9,263.9,181.34,181.34,82.56,82.56,222.73,222.73,121.42,121.42,101.31,101.31,116.61,74.65,76.41,66.23,21.25,21.25,0.15,0.24,1.19,1.49,0.82,0,0,0,0,0,60.82,38.32,22.5,27,17,10,0,0,0,16,11,5,11,6,5,59.26,64.71,50,1.52,0.1,3.52,0.24,-1.87,-0.12,16.49,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,68,54,92,57,49,75,84,64,109,2022,5,1,all,TRUE,1.25,1.2,33,100,28,27,7,50,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 80 => 50."
40.61,40.61,-60.72,-60.72,101.34,101.34,182.29,182.29,60.69,60.69,121.6,121.6,141.68,141.68,121.42,121.42,20.26,20.26,122.65,87.23,94.81,95.86,17.22,17.22,0.15,0.29,1.29,0.5,6,0,0,0,0,0,35.88,20.22,15.66,16,9,7,0,0,0,9,3,6,7,6,1,56.25,33.33,85.71,2.54,0.17,-6.75,-0.45,14.48,0.97,20.25,1.35,20.23,1.35,20.27,1.35,20.24,1.35,20.24,1.35,20.26,1.35,1,1,1,20.27,1.35,20.23,1.35,20.27,1.35,20.26,1.35,20.24,1.35,20.26,1.35,92,62,131,100,65,118,82,60,215,2022,5,1,all,TRUE,1.5,1.2,100,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Take Profit:"": 1.25 => 1.5."
29.25,29.25,16.48,16.48,12.77,12.77,49.51,49.51,16.48,16.48,33.03,33.03,20.26,20.26,0,0,20.26,20.26,34.15,26.42,34.13,29.58,21.73,21.73,0.15,0.29,2.44,N/A,1.63,0,0,0,0,0,9,2.26,6.73,4,1,3,0,0,0,3,1,2,1,0,1,75,100,66.67,7.31,0.49,16.48,1.1,4.26,0.28,16.5,1.1,16.48,1.1,16.51,1.1,20.26,1.35,N/A,,20.26,1.35,0.82,N/A,0.82,16.51,1.1,16.48,1.1,16.51,1.1,20.26,1.35,N/A,,20.26,1.35,80,15,101,98,15,140,25,0,25,2022,5,1,all,TRUE,1.25,1.2,33,100,40,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""DI Length"": 28 => 21."
26.23,26.23,23.19,23.19,3.03,3.03,329.97,329.97,164.84,164.84,165.13,165.13,303.75,303.75,141.65,141.65,162.1,162.1,112.85,77.86,97.22,83.17,21.6,21.6,0.15,0.23,1.09,1.16,1.02,0,0,0,0,0,78.76,38.29,40.46,35,17,18,0,0,0,20,10,10,15,7,8,57.14,58.82,55.56,0.75,0.05,1.36,0.09,0.17,0.01,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,74,58,89,72,55,89,76,62,89,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,25,80,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 200 => 80."
24.74,24.74,16.48,16.48,8.26,8.26,49.48,49.48,32.97,32.97,16.51,16.51,24.74,24.74,16.49,16.49,8.25,8.25,50.61,35.83,14.24,10.17,17.99,17.99,0.17,0.42,2,2,2,0,0,0,0,0,13.51,9.02,4.49,6,4,2,0,0,0,3,2,1,3,2,1,50,50,50,4.12,0.27,4.12,0.27,4.13,0.28,16.49,1.1,16.48,1.1,16.51,1.1,8.25,0.55,8.24,0.55,8.25,0.55,2,2,2,16.51,1.1,16.49,1.1,16.51,1.1,8.25,0.55,8.25,0.55,8.25,0.55,13,10,19,16,15,19,9,5,18,2022,5,1,all,TRUE,1.25,0.4,33,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Stop Loss:"": 1.2 => 0.4."
18.03,18.03,-27.04,-27.04,45.07,45.07,544.43,544.43,296.73,296.73,247.69,247.69,526.39,526.39,323.77,323.77,202.62,202.62,167.61,99.61,155.9,99.99,21.15,21.15,0.2,0.38,1.03,0.92,1.22,0,0,0,0,0,132.7,76.53,56.17,59,34,25,0,0,0,33,18,15,26,16,10,55.93,52.94,60,0.31,0.02,-0.8,-0.05,1.8,0.12,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.52,1.1,16.49,1.1,16.52,1.1,20.26,1.35,20.24,1.35,20.26,1.35,67,60,75,63,53,75,72,69,77,2022,5,1,all,TRUE,1.25,1.2,33,100,22,27,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 28 => 22."
14.25,14.25,8.99,8.99,5.26,5.26,115.51,115.51,49.46,49.46,66.05,66.05,101.26,101.26,40.47,40.47,60.79,60.79,63.37,55.47,66.58,59.64,22.19,22.19,0.09,0.14,1.14,1.22,1.09,0,0,0,0,0,27,11.26,15.73,12,5,7,0,0,0,7,3,4,5,2,3,58.33,60,57.14,1.19,0.08,1.8,0.12,0.75,0.05,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.23,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,52,39,61,64,35,86,34,45,27,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,25,140,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 200 => 140."
